일정,유형
제헌절 - 휴강,
커리어 세미나,
에이전트 시스템 마스터,
에이전트 시스템 마스터,
에이전트 시스템 마스터,
에이전트 시스템 마스터,
에이전트 시스템 마스터,
에이전트 시스템 마스터,
,
OT · 아이펠 적응하기,모듈
프롬프트 엔지니어링 마스터,모듈
sub quest C 01,서브퀘스트
sub quest C 16,서브퀘스트
바이브 코딩으로 웹 서비스 개발하기,모듈
바이브 코딩으로 웹 서비스 개발하기,모듈
바이브 코딩으로 웹 서비스 개발하기,모듈
AI 이해하고 사용하기,모듈
OT · 아이펠 적응하기,모듈
AI 이해하고 사용하기,모듈
바이브 코딩으로 웹 서비스 개발하기,모듈
WRAP UP (오전),WRAP UP
OT · 아이펠 적응하기,모듈
Main Quest 06,메인퀘스트
바이브 코딩으로 웹 서비스 개발하기,모듈
AI 이해하고 사용하기,모듈
AI 에이전트 설계,모듈
sub quest C 15,서브퀘스트
나의 도메인 개발하기 (오후),나의 도메인 개발하기
나의 도메인 개발하기 (오후),나의 도메인 개발하기
sub quest C 03,서브퀘스트
sub quest C 13,서브퀘스트
프롬프트 엔지니어링 마스터,모듈
AI Agent 파해치기,모듈
[WrapUp + 도메인 개발하기]AI 이해하고 사용하기,모듈
AI Agent 파해치기,모듈
AI 이해하고 사용하기,모듈
AI 에이전트 설계,모듈
AI Agent 파해치기,모듈
바이브코딩 해커톤,모듈
나의 도메인 개발하기 (오후),나의 도메인 개발하기
WRAP UP (오전),WRAP UP
Main Quest 02,메인퀘스트
AI 에이전트 설계,모듈
AI 이해하고 사용하기,모듈
AI 에이전트 설계,모듈
AI 에이전트 설계,모듈
sub quest A 05,서브퀘스트
AI Agent 파해치기,모듈
sub quest A 07,서브퀘스트
sub quest C 14,서브퀘스트
sub quest A 10,서브퀘스트
AI 이해하고 사용하기,모듈
AI Agent 파해치기,모듈
AI 에이전트 설계,모듈
Main Quest 03,메인퀘스트
AI 이해하고 사용하기,모듈
sub quest B 08,서브퀘스트
바이브코딩 해커톤,모듈
sub quest B 09,서브퀘스트
WRAP UP (오전),WRAP UP
바이브코딩 해커톤,모듈
sub quest A 12,서브퀘스트
바이브 코딩으로 웹 서비스 개발하기,모듈
AI 이해하고 사용하기,모듈
AI 에이전트 설계,모듈
sub quest A 06,서브퀘스트
AI Agent 파해치기,모듈
AI Agent 파해치기,모듈
AI 에이전트 설계,모듈
바이브코딩 해커톤,모듈
프롬프트 엔지니어링 마스터,모듈
나의 도메인 개발하기 (오후),나의 도메인 개발하기
sub quest C 02,서브퀘스트
AI 에이전트 설계,모듈
바이브 코딩으로 웹 서비스 개발하기,모듈
WRAP UP (오전),WRAP UP
프롬프트 엔지니어링 마스터,모듈
Main Quest 01,메인퀘스트
sub quest A 11,서브퀘스트
바이브코딩 해커톤,모듈
프롬프트 엔지니어링 마스터,모듈
sub quest A 04,서브퀘스트
AI 에이전트 설계,모듈
AI 이해하고 사용하기,모듈
