일정,날짜,모듈,유형
제헌절 - 휴강,2026년 7월 17일,,
커리어 세미나,2026년 8월 13일,,
에이전트 시스템 마스터,2026년 8월 26일,,
에이전트 시스템 마스터,2026년 8월 28일,,
에이전트 시스템 마스터,2026년 9월 1일,,
에이전트 시스템 마스터,2026년 9월 3일,,
에이전트 시스템 마스터,2026년 9월 7일,,
에이전트 시스템 마스터,2026년 9월 9일,,
,2026년 10월 2일,,
OT · 아이펠 적응하기,2026년 7월 10일,OT · 아이펠 적응하기,모듈
프롬프트 엔지니어링 마스터,2026년 8월 24일,프롬프트 엔지니어링 마스터,모듈
sub quest C 01,2026년 7월 14일,바이브 코딩으로 웹 서비스 개발하기,서브퀘스트
sub quest C 16,2026년 9월 22일,AI 에이전트 설계,서브퀘스트
바이브 코딩으로 웹 서비스 개발하기,2026년 7월 14일,바이브 코딩으로 웹 서비스 개발하기,모듈
바이브 코딩으로 웹 서비스 개발하기,2026년 7월 21일,바이브 코딩으로 웹 서비스 개발하기,모듈
바이브 코딩으로 웹 서비스 개발하기,2026년 7월 15일,바이브 코딩으로 웹 서비스 개발하기,모듈
AI 이해하고 사용하기,2026년 8월 11일,AI 이해하고 사용하기,모듈
OT · 아이펠 적응하기,2026년 7월 9일,OT · 아이펠 적응하기,모듈
AI 이해하고 사용하기,2026년 7월 28일,AI 이해하고 사용하기,모듈
바이브 코딩으로 웹 서비스 개발하기,2026년 7월 13일,바이브 코딩으로 웹 서비스 개발하기,모듈
WRAP UP (오전),2026년 8월 31일,프롬프트 엔지니어링 마스터,WRAP UP
OT · 아이펠 적응하기,2026년 7월 8일,OT · 아이펠 적응하기,모듈
Main Quest 06,2026년 9월 28일,AI 에이전트 설계,메인퀘스트
바이브 코딩으로 웹 서비스 개발하기,2026년 7월 16일,바이브 코딩으로 웹 서비스 개발하기,모듈
AI 이해하고 사용하기,2026년 7월 27일,AI 이해하고 사용하기,모듈
AI 에이전트 설계,2026년 9월 16일,AI 에이전트 설계,모듈
sub quest C 15,2026년 9월 18일,AI 에이전트 설계,서브퀘스트
나의 도메인 개발하기 (오후),2026년 7월 23일,바이브 코딩으로 웹 서비스 개발하기,나의 도메인 개발하기
나의 도메인 개발하기 (오후),2026년 9월 29일,AI 에이전트 설계,나의 도메인 개발하기
sub quest C 03,2026년 7월 21일,바이브 코딩으로 웹 서비스 개발하기,서브퀘스트
sub quest C 13,2026년 9월 14일,AI 에이전트 설계,서브퀘스트
프롬프트 엔지니어링 마스터,2026년 8월 27일,프롬프트 엔지니어링 마스터,모듈
AI Agent 파해치기,2026년 9월 3일,AI Agent 파해치기,모듈
[WrapUp + 도메인 개발하기]AI 이해하고 사용하기,2026년 8월 13일,AI 이해하고 사용하기,모듈
AI Agent 파해치기,2026년 9월 9일,AI Agent 파해치기,모듈
AI 이해하고 사용하기,2026년 7월 30일,AI 이해하고 사용하기,모듈
AI 에이전트 설계,2026년 9월 23일,AI 에이전트 설계,모듈
AI Agent 파해치기,2026년 9월 8일,AI Agent 파해치기,모듈
바이브코딩 해커톤,2026년 8월 21일,바이브코딩 해커톤,모듈
나의 도메인 개발하기 (오후),2026년 9월 10일,AI Agent 파해치기,나의 도메인 개발하기
WRAP UP (오전),2026년 9월 10일,AI Agent 파해치기,WRAP UP
Main Quest 02,2026년 8월 12일,AI 이해하고 사용하기,메인퀘스트
AI 에이전트 설계,2026년 9월 17일,AI 에이전트 설계,모듈
AI 이해하고 사용하기,2026년 7월 29일,AI 이해하고 사용하기,모듈
AI 에이전트 설계,2026년 9월 14일,AI 에이전트 설계,모듈
AI 에이전트 설계,2026년 9월 28일,AI 에이전트 설계,모듈
sub quest A 05,2026년 7월 29일,AI 이해하고 사용하기,서브퀘스트
AI Agent 파해치기,2026년 9월 2일,AI Agent 파해치기,모듈
sub quest A 07,2026년 8월 11일,AI 이해하고 사용하기,서브퀘스트
sub quest C 14,2026년 9월 17일,AI 에이전트 설계,서브퀘스트
sub quest A 10,2026년 9월 2일,AI Agent 파해치기,서브퀘스트
AI 이해하고 사용하기,2026년 7월 24일,AI 이해하고 사용하기,모듈
AI Agent 파해치기,2026년 9월 1일,AI Agent 파해치기,모듈
AI 에이전트 설계,2026년 9월 11일,AI 에이전트 설계,모듈
Main Quest 03,2026년 8월 21일,바이브코딩 해커톤,메인퀘스트
AI 이해하고 사용하기,2026년 8월 12일,AI 이해하고 사용하기,모듈
sub quest B 08,2026년 8월 25일,프롬프트 엔지니어링 마스터,서브퀘스트
바이브코딩 해커톤,2026년 8월 20일,바이브코딩 해커톤,모듈
sub quest B 09,2026년 8월 27일,프롬프트 엔지니어링 마스터,서브퀘스트
WRAP UP (오전),2026년 7월 23일,바이브 코딩으로 웹 서비스 개발하기,WRAP UP
바이브코딩 해커톤,2026년 8월 14일,바이브코딩 해커톤,모듈
sub quest A 12,2026년 9월 8일,AI Agent 파해치기,서브퀘스트
바이브 코딩으로 웹 서비스 개발하기,2026년 7월 20일,바이브 코딩으로 웹 서비스 개발하기,모듈
AI 이해하고 사용하기,2026년 7월 31일,AI 이해하고 사용하기,모듈
AI 에이전트 설계,2026년 9월 15일,AI 에이전트 설계,모듈
sub quest A 06,2026년 7월 31일,AI 이해하고 사용하기,서브퀘스트
AI Agent 파해치기,2026년 9월 4일,AI Agent 파해치기,모듈
AI Agent 파해치기,2026년 9월 7일,AI Agent 파해치기,모듈
AI 에이전트 설계,2026년 9월 22일,AI 에이전트 설계,모듈
바이브코딩 해커톤,2026년 8월 19일,바이브코딩 해커톤,모듈
프롬프트 엔지니어링 마스터,2026년 8월 25일,프롬프트 엔지니어링 마스터,모듈
나의 도메인 개발하기 (오후),2026년 8월 31일,프롬프트 엔지니어링 마스터,나의 도메인 개발하기
sub quest C 02,2026년 7월 16일,바이브 코딩으로 웹 서비스 개발하기,서브퀘스트
AI 에이전트 설계,2026년 9월 18일,AI 에이전트 설계,모듈
바이브 코딩으로 웹 서비스 개발하기,2026년 7월 22일,바이브 코딩으로 웹 서비스 개발하기,모듈
WRAP UP (오전),2026년 9월 29일,AI 에이전트 설계,WRAP UP
프롬프트 엔지니어링 마스터,2026년 8월 28일,프롬프트 엔지니어링 마스터,모듈
Main Quest 01,2026년 7월 22일,바이브 코딩으로 웹 서비스 개발하기,메인퀘스트
sub quest A 11,2026년 9월 4일,AI Agent 파해치기,서브퀘스트
바이브코딩 해커톤,2026년 8월 18일,바이브코딩 해커톤,모듈
프롬프트 엔지니어링 마스터,2026년 8월 26일,프롬프트 엔지니어링 마스터,모듈
sub quest A 04,2026년 7월 27일,AI 이해하고 사용하기,서브퀘스트
AI 에이전트 설계,2026년 9월 21일,AI 에이전트 설계,모듈
AI 이해하고 사용하기,2026년 8월 10일,AI 이해하고 사용하기,모듈
