이름,LMS 계정(이메일),LMS 로그인,LMS 비밀번호 변경,노션 접속,디스코드 접속,메모,젭 접속,출결 앱 자동로그인
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
,,No,No,No,No,,No,No
