사유,인정일,증빙자료,비고,첨부파일
,,,,
예비군 / 민방위,소요일,참여확인증,,
질병 / 입원,"단위 기간 내 2일
(최대 11일)

*사용 시, 단위 기간 내 누적 횟수 확인 필요","1.진료확인서
2.통원확인서
3.처방전
4.진단서
5.입/퇴원확인서
중 택 1
*질병분류기호 기재 필수","*본인 및 자녀(만 19세 미만) 진료 시에만 가능 (자녀 병가 시, 가족관계증명서 추가 제출)
* 질병 코드 기재 필수
* 영수증 제출 시 처리 불가
* 지각/조퇴/외출시에도 공결 인정됨",
사망,"대상에 따른 인정 일수
별도 확인","1.사망진단서
2.가족관계증명서","*사망일 기준으로 소요일 적용
*베우자, 본인 및 배우자의 부모: 5일
*본인 및 배우자의 조부모: 3일
*본인 및 배우자의 형제자매: 1일",
휴가,"단위 기간 내 1일
(최대 6일)","휴가신청서
(아래 양식 참조)","*당일 또는 발생일 이후 사용 불가 (부득이한 사유 제외)
*휴가 사용 전 신청서 제출 필수",%EC%B6%9C%EA%B2%B0%EC%97%90%20%EB%8C%80%ED%95%98%EC%97%AC/%EA%B3%B5%EA%B0%80%20%EB%A6%AC%EC%8A%A4%ED%8A%B8/%ED%9C%B4%EA%B0%80/%ED%9C%B4%EA%B0%80%EC%8B%A0%EC%B2%AD%EC%84%9C(AI_%EB%8D%B0%EC%9D%B4%ED%84%B0_%EC%9D%B8%ED%85%94%EB%A6%AC%EC%A0%84%EC%8A%A4_1%EA%B8%B0).docx
,,,,
입사시험,소요일,"1.면접 확인서
2.채용공고 캡처 이미지",,
자격시험,소요일,응시확인서,"*훈련 과정과 관련된 자격 시험만 가능
*응시확인서 발급이 늦는 경우, 수험표에 시험 당일 담당 감독관에게 확인 도장 또는 서명 받아 제출",
결혼,"본인 5일, 자녀 1일",청첩장,,
출산(배우자),5일,출산확인서,,
해커톤 참여,소요일,참여확인서,*정부에서 주관/주최하는 훈련 과정과 관련된 경진대회 참여만 출석인정 (KDT 해커톤 출석인정 가능),
